Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR14514254_2	37.85421591081612	42.0	97.25396246722784	100	9.090909090909092	29103206.0
SRR14514255_1	25.478430088308656	42.0	98.34979160606075	100	9.090909090909092	25073186.0
SRR14514255_2	41.91579297871496	42.0	97.97777801353206	100	18.181818181818183	25073186.0
SRR14514256_1	20.72595293273136	43.0	97.0580678236782	100	9.090909090909092	37692854.0
SRR14514256_2	40.164152119309115	43.0	96.92893416879497	100	9.090909090909092	37692854.0
SRR14514257_1	14.87571599834024	40.0	97.60940291790395	100	9.090909090909092	23755477.0
SRR14514257_2	31.726674077772785	40.0	97.47473351092887	100	9.090909090909092	23755477.0
SRR14514258_1	17.597015363612087	41.0	97.95501888503185	100	9.090909090909092	39952011.0
SRR14514258_2	40.05969543716373	41.0	97.8738995641546	100	9.090909090909092	39952011.0
SRR14514259_1	17.14625166737936	42.0	97.5247084788057	100	9.090909090909092	40578439.0
SRR14514259_2	36.1445433595911	42.0	97.36717807207911	100	9.090909090909092	40578439.0
SRR14514260_1	23.419032385465158	43.0	97.81270545586197	100	18.181818181818183	27770259.0
SRR14514260_2	47.02656855265966	43.0	97.63781065203605	100	9.090909090909092	27770259.0
SRR14514261_1	29.040432354064393	45.0	96.986720197288	100	18.181818181818183	31316655.0
SRR14514261_2	47.93100998312093	45.0	96.87338842542411	100	18.181818181818183	31316655.0
SRR14514262_1	19.531920936894792	43.0	97.72341012478373	100	9.090909090909092	20945040.0
SRR14514262_2	37.88726220910426	43.0	97.56029093284138	100	9.090909090909092	20945040.0
SRR14514263_1	17.44095450897902	41.0	97.91595205667151	100	9.090909090909092	33075384.0
SRR14514263_2	38.19453993071511	41.0	97.75961452178454	100	9.090909090909092	33075384.0
SRR14514264_1	19.525946642164925	44.0	97.93038917775321	100	18.181818181818183	23666435.0
SRR14514264_2	39.31707861458569	44.0	97.74874162500605	100	18.181818181818183	23666435.0
SRR14514265_1	16.526435199338223	41.0	96.89617187676814	100	9.090909090909092	30752824.0
SRR14514265_2	34.73345985455457	41.0	96.64340315543053	100	9.090909090909092	30752824.0
SRR14514266_1	24.628201810825587	41.0	97.1254683685227	100	18.181818181818183	27263254.0
SRR14514266_2	40.00990822418468	41.0	96.97280984874367	100	9.090909090909092	27263254.0
SRR14514267_1	27.615349223659038	43.0	97.01331444177661	100	18.181818181818183	27717497.0
SRR14514267_2	42.25822103294209	43.0	96.84091373762934	100	18.181818181818183	27717497.0
SRR14514268_1	15.90463748730076	41.0	98.00629351401129	100	9.090909090909092	28021865.0
SRR14514268_2	33.99832853976122	41.0	97.7417009181937	100	9.090909090909092	28021865.0
SRR14514269_1	19.262773043315136	43.0	96.39357917557282	100	18.181818181818183	11816738.0
SRR14514269_2	35.94358397222298	43.0	96.289452131375	100	9.090909090909092	11816738.0
SRR14514270_1	29.103702235429594	44.0	97.47764825678749	100	18.181818181818183	35031988.0
SRR14514270_2	47.76492213336135	44.0	97.29781307301201	100	18.181818181818183	35031988.0
SRR14514271_1	25.30617559288568	44.0	97.89827870072098	100	18.181818181818183	20699480.0
SRR14514271_2	40.191336443341505	43.0	97.58723745717283	100	18.181818181818183	20699480.0
SRR14514272_1	37.231753966331226	45.0	97.16719777379562	100	9.090909090909092	29310157.0
SRR14514272_2	53.14121091780079	45.0	96.87010117346011	100	18.181818181818183	29310157.0
SRR14514273_1	32.19293412391919	44.0	88.93553827414262	100	18.181818181818183	26377730.0
SRR14514273_2	45.3446929215381	45.0	88.82581351769088	100	18.181818181818183	26377730.0
SRR14514274_1	27.405127628902022	43.0	96.81650211745993	100	18.181818181818183	26972175.0
SRR14514274_2	42.06976205434465	43.0	96.51372364297652	100	18.181818181818183	26972175.0
SRR14514275_1	20.08202979827938	42.0	97.07708917012732	100	9.090909090909092	12382297.0
SRR14514275_2	35.94058208939697	42.0	96.83636533673841	100	9.090909090909092	12382297.0
SRR14514276_1	23.57133431113607	44.0	94.05633382417687	100	9.090909090909092	21622640.0
SRR14514276_2	37.72111538060522	44.0	94.02248670837604	100	9.090909090909092	21622640.0
SRR14514277_1	15.025108458922034	41.0	97.91605012980769	100	9.090909090909092	24906459.0
SRR14514277_2	32.6576308784995	41.0	97.64842453116277	100	9.090909090909092	24906459.0
